id;id_loja;departamento;setor;sistema_entrega;classe;nome_produto;data_ult_entr;estoque
6687;4;MERCEARIA ALIMENTOS;TEMPERO CONDIMENTOS;cross_docking;E;TEMP KITANO 60G ARROZ BRANCO;30/01/2024;0.0
6687;7;MERCEARIA ALIMENTOS;TEMPERO CONDIMENTOS;cross_docking;E;TEMP KITANO 60G ARROZ BRANCO;31/08/2023;0.0
6687;99;MERCEARIA ALIMENTOS;TEMPERO CONDIMENTOS;supplier;E;TEMP KITANO 60G ARROZ BRANCO;28/02/2024;0.0
6696;3;MERCEARIA ALIMENTOS;PRODUTOS DIET;cross_docking;E;PUDIM DR OETKER DIET BAUNILHA 25G;02/12/2023;14.0
6696;9;MERCEARIA ALIMENTOS;PRODUTOS DIET;cross_docking;E;PUDIM DR OETKER DIET BAUNILHA 25G;28/02/2024;0.0
6696;99;MERCEARIA ALIMENTOS;PRODUTOS DIET;supplier;E;PUDIM DR OETKER DIET BAUNILHA 25G;;0.0
6730;1;MERCEARIA ALIMENTOS;DERIVADOS DE TOMATE;cross_docking;E;EXTRATO LT 300G PREDILECTA;06/02/2024;58.0
6730;10;MERCEARIA ALIMENTOS;DERIVADOS DE TOMATE;cross_docking;E;EXTRATO LT 300G PREDILECTA;09/02/2024;0.0
6730;2;MERCEARIA ALIMENTOS;DERIVADOS DE TOMATE;cross_docking;E;EXTRATO LT 300G PREDILECTA;26/09/2023;17.0
6730;3;MERCEARIA ALIMENTOS;DERIVADOS DE TOMATE;cross_docking;E;EXTRATO LT 300G PREDILECTA;07/02/2024;31.0
6730;4;MERCEARIA ALIMENTOS;DERIVADOS DE TOMATE;cross_docking;E;EXTRATO LT 300G PREDILECTA;06/02/2024;0.0
6730;7;MERCEARIA ALIMENTOS;DERIVADOS DE TOMATE;cross_docking;E;EXTRATO LT 300G PREDILECTA;06/02/2024;0.0
6730;99;MERCEARIA ALIMENTOS;DERIVADOS DE TOMATE;supplier;E;EXTRATO LT 300G PREDILECTA;30/01/2024;0.0
6735;1;MERCEARIA ALIMENTOS;DERIVADOS DE TOMATE;cross_docking;E;EXTRATO FLAMENGO 270G PREDILECTA;06/11/2023;7.0
6735;99;MERCEARIA ALIMENTOS;DERIVADOS DE TOMATE;supplier;E;EXTRATO FLAMENGO 270G PREDILECTA;01/04/2024;0.0
6736;99;MERCEARIA ALIMENTOS;DERIVADOS DE TOMATE;supplier;E;EXTRATO PALMEIRAS 270G PREDILECTA;26/01/2024;0.0
6737;1;MERCEARIA ALIMENTOS;DERIVADOS DE TOMATE;cross_docking;E;EXTRATO CORINTHIANS 270G PREDILECTA;30/01/2024;13.0
6737;99;MERCEARIA ALIMENTOS;DERIVADOS DE TOMATE;supplier;E;EXTRATO CORINTHIANS 270G PREDILECTA;26/01/2024;0.0
6770;7;PERFUMARIA;PRODUTOS POS BANHO;cross_docking;E;DES REXONA WOMEN POWDER 50ML;01/02/2024;0.0
6798;1;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;DESENTUPIDOR DIABO VERDE PIAS RALOS 300G;22/11/2023;7.0
